Kingdom	Phylum	Class	Order	Family	Genus
sq168	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA
sq169	Bacteria	NA	NA	NA	NA	NA
sq170	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
sq171	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA
sq172	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
sq173	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
sq174	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7
sq175	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
sq176	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
sq177	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA
sq178	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7
sq179	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA
sq180	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA
sq181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
sq182	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
sq183	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
sq184	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
sq185	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Finniella
sq186	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA
sq187	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA
sq188	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum
sq189	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus
sq190	Bacteria	NA	NA	NA	NA	NA
sq191	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
sq192	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
sq193	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
sq194	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA
sq195	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
sq196	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
sq197	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
sq198	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA
sq199	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA
sq200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetovibrio
sq201	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
sq202	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
